"Markers"	"chrom"	"loc"
"112"	"Marker1127"	"1A"	71047
"113"	"Marker1654"	"1A"	71047
"114"	"Marker2294"	"1A"	71047
"115"	"Marker2898"	"1A"	71047
"116"	"Marker467"	"1A"	71096
"117"	"Marker693"	"1A"	71096
"118"	"Marker1223"	"1A"	71096
"119"	"Marker1308"	"1A"	71096
"120"	"Marker1454"	"1A"	71096
"121"	"Marker1488"	"1A"	71096
"122"	"Marker1492"	"1A"	71096
"123"	"Marker1572"	"1A"	71096
"124"	"Marker1623"	"1A"	71096
"125"	"Marker1661"	"1A"	71096
"126"	"Marker1662"	"1A"	71096
"127"	"Marker1698"	"1A"	71096
"128"	"Marker10"	"1A"	71096
"129"	"Marker1850"	"1A"	71096
"130"	"Marker1881"	"1A"	71096
"131"	"Marker2009"	"1A"	71096
"132"	"Marker2262"	"1A"	71096
"133"	"Marker2703"	"1A"	71096
"134"	"Marker3035"	"1A"	71096
"135"	"Marker3089"	"1A"	71096
"136"	"Marker3463"	"1A"	71096
"137"	"Marker1060"	"1A"	71478
"138"	"Marker1453"	"1A"	71478
"139"	"Marker1471"	"1A"	71478
"140"	"Marker1490"	"1A"	71478
"141"	"Marker1697"	"1A"	71478
"142"	"Marker1880"	"1A"	71478
"143"	"Marker1882"	"1A"	71478
"144"	"Marker2220"	"1A"	71478
"145"	"Marker3052"	"1A"	71478
"146"	"Marker816"	"1A"	71647
"147"	"Marker205"	"1A"	72608
"148"	"Marker1557"	"1A"	74785
"149"	"Marker1645"	"1A"	74785
"150"	"Marker2365"	"1A"	74785
"151"	"Marker3389"	"1A"	74859
"152"	"Marker1230"	"1A"	76142
"153"	"Marker1862"	"1A"	76142
"154"	"Marker3121"	"1A"	76142
"155"	"Marker860"	"1A"	77784
"156"	"Marker103"	"1A"	77784
"157"	"Marker1779"	"1A"	77784
"158"	"Marker2984"	"1A"	77784
"159"	"Marker3478"	"1A"	77784
"160"	"Marker1300"	"1A"	78205
"161"	"Marker3283"	"1A"	78205
"162"	"Marker604"	"1A"	78334
"163"	"Marker1456"	"1A"	78334
"164"	"Marker1773"	"1A"	78334
"165"	"Marker1774"	"1A"	78334
"166"	"Marker2135"	"1A"	78334
"167"	"Marker2952"	"1A"	78334
"168"	"Marker2954"	"1A"	78334
"169"	"Marker3409"	"1A"	78334
"170"	"Marker1455"	"1A"	78363
"171"	"Marker1629"	"1A"	78363
"172"	"Marker2369"	"1A"	78363
"173"	"Marker3301"	"1A"	78363
"174"	"Marker1041"	"1A"	79189
"175"	"Marker1049"	"1A"	79189
"176"	"Marker2292"	"1A"	79458
"177"	"Marker2582"	"1A"	79532
"178"	"Marker2891"	"1A"	79532
"179"	"Marker961"	"1A"	79591
"180"	"Marker1494"	"1A"	79591
"181"	"Marker3438"	"1A"	79591
"182"	"IWA4283"	"1A"	80543
"183"	"Marker2316"	"1A"	81540
"184"	"Marker2931"	"1A"	81971
"185"	"Marker2932"	"1A"	81971
"186"	"Marker3281"	"1A"	82907
"187"	"Marker3391"	"1A"	82907
"188"	"Marker3392"	"1A"	82907
"189"	"Marker2871"	"1A"	83555
"190"	"Marker226"	"1A"	83704
"191"	"Marker3489"	"1A"	83704
"192"	"Marker2311"	"1A"	84034
"193"	"Marker246"	"1A"	84326
"194"	"Marker1975"	"1A"	84423
"195"	"Marker1468"	"1A"	84630
"196"	"Marker2884"	"1A"	84630
"197"	"Marker1098"	"1A"	86139
"198"	"Marker1419"	"1A"	86139
"199"	"Marker1002"	"1A"	87457
"200"	"Marker2742"	"1A"	87859
"201"	"Marker2942"	"1A"	88840
"202"	"Marker928"	"1A"	91761
"203"	"Marker670"	"1A"	91998
"204"	"Marker2933"	"1A"	91998
"205"	"Marker142"	"1A"	93610
"206"	"Marker2802"	"1A"	93610
"207"	"Marker3108"	"1A"	94456
"208"	"Marker3109"	"1A"	94456
"209"	"Marker1418"	"1A"	95201
"210"	"Marker1647"	"1A"	95201
"211"	"Marker2473"	"1A"	95201
"212"	"Marker2895"	"1A"	95201
"213"	"Marker1025"	"1A"	95554
"214"	"Marker1385"	"1A"	95554
"215"	"Marker1757"	"1A"	96305
"216"	"Marker213"	"1A"	96836
"217"	"Marker3021"	"1A"	101192
"218"	"Marker3298"	"1A"	101192
"219"	"Marker1991"	"1A"	101642
"220"	"Marker409"	"1A"	102319
"221"	"Marker231"	"1A"	102918
"222"	"Marker232"	"1A"	102918
"223"	"Marker2633"	"1A"	102918
"224"	"Marker52"	"1A"	105742
"225"	"Marker1324"	"1A"	105742
"226"	"Marker1433"	"1A"	105742
"227"	"Marker1434"	"1A"	105742
"228"	"Marker1622"	"1A"	105742
"229"	"Marker2702"	"1A"	105742
"230"	"Marker3348"	"1A"	105742
"231"	"Marker3601"	"1A"	105742
"232"	"Marker1621"	"1A"	106270
"233"	"Marker2240"	"1A"	106633
"234"	"Marker2241"	"1A"	107663
"235"	"Marker45"	"1A"	108058
"236"	"Marker46"	"1A"	108058
"237"	"Marker694"	"1A"	110678
"238"	"Marker284"	"1A"	110678
"239"	"Marker2629"	"1A"	110917
"240"	"Marker437"	"1A"	111141
"241"	"Marker95"	"1A"	111406
"242"	"Marker446"	"1A"	111432
"243"	"Marker2604"	"1A"	111552
"244"	"Marker301"	"1A"	113194
"245"	"Marker421"	"1A"	113770
"246"	"Marker1462"	"1A"	113770
"247"	"Marker1984"	"1A"	113770
"248"	"Marker386"	"1A"	115390
"249"	"Marker718"	"1A"	115390
"250"	"Marker966"	"1A"	115390
"251"	"Marker1136"	"1A"	115390
"252"	"Marker273"	"1A"	115390
"253"	"Marker2779"	"1A"	115723
"254"	"Marker2481"	"1A"	118272
"255"	"Marker193"	"1A"	118829
"256"	"Marker3215"	"1A"	125170
"257"	"Marker3326"	"1A"	127732
"258"	"Marker2081"	"1A"	131557
"259"	"Marker499"	"1A"	133153
"260"	"Marker3505"	"1A"	133153
"261"	"Marker2745"	"1A"	134630
"262"	"Marker930"	"1A"	137120
"263"	"Marker1406"	"1A"	137120
"264"	"Marker2172"	"1A"	137205
"265"	"Marker2173"	"1A"	137205
"266"	"Marker2864"	"1A"	137205
"267"	"Marker585"	"1A"	139744
"268"	"Marker804"	"1A"	139744
"269"	"Marker1278"	"1A"	139744
"270"	"Marker1726"	"1A"	139744
"271"	"Marker1229"	"1A"	139919
"272"	"Marker2472"	"1A"	139919
"273"	"Marker583"	"1A"	140929
"274"	"Marker2836"	"1A"	140929
"275"	"Marker584"	"1A"	141531
"276"	"Marker2561"	"1A"	141531
"277"	"Marker2797"	"1A"	141531
"278"	"Marker792"	"1A"	142309
"279"	"Marker1518"	"1A"	142309
"280"	"Marker2271"	"1A"	142309
"281"	"Marker1980"	"1A"	148656
"282"	"Marker2434"	"1A"	151224
"283"	"Marker286"	"1A"	152474
"284"	"Marker3014"	"1A"	153197
"285"	"Marker624"	"1A"	154554
"286"	"Marker1554"	"1A"	155800
"287"	"Marker1707"	"1A"	155800
"288"	"Marker1777"	"1A"	155800
"289"	"Marker1778"	"1A"	155800
"290"	"IWA61"	"1B"	29674
"291"	"Marker2416"	"1B"	31040
"292"	"Marker165"	"1B"	41213
"293"	"Marker2068"	"1B"	43858
"294"	"Marker2383"	"1B"	43858
"295"	"Marker2892"	"1B"	43858
"296"	"Marker3175"	"1B"	43858
"297"	"Marker733"	"1B"	47241
"298"	"Marker1439"	"1B"	56881
"299"	"Marker764"	"1B"	57309
"300"	"Marker1038"	"1B"	57596
"301"	"Marker2832"	"1B"	57596
"302"	"Marker3234"	"1B"	57596
"303"	"Marker594"	"1B"	60624
"304"	"Marker1233"	"1B"	60624
"305"	"Marker2782"	"1B"	60624
"306"	"Marker162"	"1B"	62316
"307"	"Marker589"	"1B"	62580
"308"	"Marker944"	"1B"	62580
"309"	"Marker3533"	"1B"	62580
"310"	"Marker2789"	"1B"	62638
"311"	"Marker2711"	"1B"	62839
"312"	"Marker534"	"1B"	64099
"313"	"Marker2524"	"1B"	64099
"314"	"Marker3245"	"1B"	64099
"315"	"Marker3583"	"1B"	64099
"316"	"Marker42"	"1B"	64316
"317"	"Marker374"	"1B"	64316
"318"	"Marker3427"	"1B"	64460
"319"	"Marker470"	"1B"	64891
"320"	"Marker734"	"1B"	64891
"321"	"Marker735"	"1B"	64891
"322"	"Marker825"	"1B"	64891
"323"	"Marker1070"	"1B"	64891
"324"	"Marker1363"	"1B"	64891
"325"	"Marker1532"	"1B"	64891
"326"	"Marker1536"	"1B"	64891
"327"	"Marker1914"	"1B"	64891
"328"	"Marker1923"	"1B"	64891
"329"	"Marker2203"	"1B"	64891
"330"	"Marker2501"	"1B"	64891
"331"	"Marker3342"	"1B"	64891
"332"	"Marker3032"	"1B"	65357
"333"	"Marker3628"	"1B"	65357
"334"	"Marker2386"	"1B"	65421
"335"	"Marker2881"	"1B"	65421
"336"	"Marker3141"	"1B"	65421
"337"	"Marker47"	"1B"	66072
"338"	"Marker2079"	"1B"	66072
"339"	"Marker3001"	"1B"	66072
"340"	"Marker1208"	"1B"	66904
"341"	"Marker31"	"1B"	67141
"342"	"Marker32"	"1B"	67141
"343"	"Marker11"	"1B"	67141
"344"	"Marker2131"	"1B"	69767
"345"	"Marker2565"	"1B"	69767
"346"	"Marker2566"	"1B"	69767
"347"	"Marker3483"	"1B"	69767
"348"	"Marker418"	"1B"	70080
"349"	"Marker894"	"1B"	70080
"350"	"Marker1474"	"1B"	70080
"351"	"Marker1812"	"1B"	70080
"352"	"Marker2208"	"1B"	70080
"353"	"Marker2370"	"1B"	70080
"354"	"Marker2406"	"1B"	70080
"355"	"Marker2511"	"1B"	70080
"356"	"Marker2712"	"1B"	70080
"357"	"Marker2716"	"1B"	70080
"358"	"Marker2915"	"1B"	70080
"359"	"Marker3096"	"1B"	70080
"360"	"Marker3286"	"1B"	70080
"361"	"Marker3333"	"1B"	70080
"362"	"Marker3334"	"1B"	70080
"363"	"Marker3335"	"1B"	70080
"364"	"Marker3477"	"1B"	70080
"365"	"Marker3482"	"1B"	70080
"366"	"Marker353"	"1B"	70080
"367"	"Marker1008"	"1B"	70644
"368"	"Marker1390"	"1B"	70644
"369"	"Marker2395"	"1B"	70644
"370"	"Marker895"	"1B"	70708
"371"	"Marker3469"	"1B"	70708
"372"	"Marker48"	"1B"	70782
"373"	"Marker68"	"1B"	70782
"374"	"Marker766"	"1B"	70782
"375"	"Marker1080"	"1B"	70782
"376"	"Marker1081"	"1B"	70782
"377"	"Marker1119"	"1B"	70782
"378"	"Marker1787"	"1B"	70782
"379"	"Marker3340"	"1B"	70782
"380"	"Marker330"	"1B"	70782
"381"	"Marker41"	"1B"	70852
"382"	"Marker67"	"1B"	70852
"383"	"Marker2955"	"1B"	70852
"384"	"Marker2466"	"1B"	71847
"385"	"Marker2728"	"1B"	74186
"386"	"Marker906"	"1B"	74372
"387"	"Marker104"	"1B"	74372
"388"	"Marker1876"	"1B"	74372
"389"	"Marker186"	"1B"	74372
"390"	"Marker222"	"1B"	74372
"391"	"Marker3273"	"1B"	74372
"392"	"Marker3323"	"1B"	74372
"393"	"Marker3380"	"1B"	74372
"394"	"Marker3448"	"1B"	74372
"395"	"Marker767"	"1B"	75102
"396"	"Marker1370"	"1B"	75102
"397"	"Marker1692"	"1B"	75102
"398"	"Marker2001"	"1B"	75102
"399"	"Marker2002"	"1B"	75102
"400"	"Marker201"	"1B"	75102
"401"	"Marker3049"	"1B"	75102
"402"	"Marker3360"	"1B"	75102
"403"	"Marker230"	"1B"	75814
"404"	"Marker2614"	"1B"	75814
"405"	"Marker448"	"1B"	76886
"406"	"Marker211"	"1B"	76886
"407"	"Marker318"	"1B"	76886
"408"	"Marker219"	"1B"	77394
"409"	"Marker737"	"1B"	78443
"410"	"Marker738"	"1B"	78443
"411"	"Marker1584"	"1B"	78450
"412"	"Marker1785"	"1B"	78450
"413"	"Marker2736"	"1B"	78450
"414"	"Marker2737"	"1B"	78450
"415"	"Marker2943"	"1B"	78450
"416"	"Marker3019"	"1B"	78450
"417"	"Marker3026"	"1B"	78450
"418"	"Marker3153"	"1B"	78450
"419"	"Marker929"	"1B"	78992
"420"	"Marker2548"	"1B"	78992
"421"	"Marker1059"	"1B"	79126
"422"	"Marker2873"	"1B"	79232
"423"	"Marker1902"	"1B"	79774
"424"	"Marker2341"	"1B"	79774
"425"	"Marker2342"	"1B"	79774
"426"	"Marker1103"	"1B"	81609
"427"	"Marker1568"	"1B"	81609
"428"	"Marker664"	"1B"	84433
"429"	"Marker807"	"1B"	84433
"430"	"Marker808"	"1B"	84433
"431"	"Marker1043"	"1B"	84433
"432"	"Marker1138"	"1B"	84433
"433"	"Marker1139"	"1B"	84433
"434"	"Marker1180"	"1B"	84433
"435"	"Marker1181"	"1B"	84433
"436"	"Marker1762"	"1B"	84433
"437"	"Marker2078"	"1B"	84433
"438"	"Marker2304"	"1B"	84433
"439"	"Marker2305"	"1B"	84433
"440"	"Marker2845"	"1B"	84433
"441"	"Marker3063"	"1B"	84433
"442"	"Marker300"	"1B"	84433
"443"	"Marker1320"	"1B"	87295
"444"	"Marker2424"	"1B"	89568
"445"	"Marker1293"	"1B"	90257
"446"	"Marker2423"	"1B"	90257
"447"	"Marker233"	"1B"	92388
"448"	"Marker3565"	"1B"	92388
"449"	"Marker2792"	"1B"	95117
"450"	"Marker925"	"1B"	96164
"451"	"Marker971"	"1B"	96164
"452"	"Marker96"	"1B"	96164
"453"	"Marker2163"	"1B"	96164
"454"	"Marker3586"	"1B"	96164
"455"	"Marker1386"	"1B"	96409
"456"	"Marker151"	"1B"	96409
"457"	"Marker152"	"1B"	96409
"458"	"Marker3122"	"1B"	96409
"459"	"Marker2321"	"1B"	97714
"460"	"Marker3547"	"1B"	99074
"461"	"Marker2610"	"1B"	99495
"462"	"Marker1242"	"1B"	101059
"463"	"Marker1792"	"1B"	101059
"464"	"Marker1793"	"1B"	101059
"465"	"Marker166"	"1B"	103570
"466"	"Marker2601"	"1B"	108363
"467"	"Marker2666"	"1B"	108363
"468"	"Marker1469"	"1B"	110469
"469"	"Marker3604"	"1B"	110926
"470"	"Marker1282"	"1B"	113842
"471"	"Marker1280"	"1B"	114085
"472"	"Marker1281"	"1B"	114085
"473"	"Marker2451"	"1B"	114085
"474"	"Marker2450"	"1B"	114129
"475"	"Marker3214"	"1B"	114576
"476"	"Marker1730"	"1B"	115881
"477"	"Marker2909"	"1B"	115881
"478"	"Marker3107"	"1B"	115881
"479"	"Marker287"	"1B"	118287
"480"	"Marker288"	"1B"	118287
"481"	"Marker3615"	"1B"	118287
"482"	"Marker404"	"1B"	122519
"483"	"Marker710"	"1B"	122519
"484"	"Marker1255"	"1B"	122519
"485"	"Marker3614"	"1B"	122764
"486"	"Marker2639"	"1B"	125068
"487"	"Marker415"	"1B"	128738
"488"	"Marker3510"	"1B"	130899
"489"	"Marker1615"	"1B"	132134
"490"	"Marker1716"	"1B"	132134
"491"	"Marker362"	"1B"	136106
"492"	"Marker1553"	"1B"	137003
"493"	"Marker3450"	"1B"	137003
"494"	"Marker3570"	"1B"	137003
"495"	"Marker344"	"1B"	137003
"496"	"Marker345"	"1B"	137003
"497"	"Marker1666"	"1B"	141825
"498"	"Marker1667"	"1B"	141825
"499"	"Marker297"	"1B"	154844
"500"	"Marker2982"	"1B"	158591
"501"	"Marker71"	"1B"	171314
"502"	"Marker915"	"1B"	171314
"503"	"Marker827"	"1B"	171425
"504"	"Marker221"	"1B"	173624
"505"	"Marker1295"	"1D"	3402
"506"	"Marker3221"	"1D"	3502
"507"	"Marker2690"	"1D"	8484
"508"	"Marker2849"	"1D"	17055
"509"	"Marker3363"	"1D"	24307
"510"	"Marker3263"	"1D"	32984
"511"	"Marker3618"	"1D"	50580
"512"	"IWA1572"	"1D"	65134
"513"	"Marker150"	"1D"	67715
"514"	"Marker2223"	"1D"	67715
"515"	"Marker2225"	"1D"	67715
"516"	"Marker19"	"1D"	67715
"517"	"Marker264"	"1D"	67715
"518"	"Marker338"	"1D"	67715
"519"	"Marker378"	"1D"	67715
"520"	"Marker539"	"1D"	70819
"521"	"Marker866"	"1D"	70819
"522"	"Marker434"	"1D"	71901
"523"	"Marker435"	"1D"	71901
"524"	"Marker2306"	"1D"	71901
"525"	"Marker58"	"1D"	73127
"526"	"Marker1442"	"1D"	75036
"527"	"Marker2583"	"1D"	76846
"528"	"Marker1458"	"1D"	81337
"529"	"Marker3114"	"1D"	81934
"530"	"Marker143"	"1D"	82817
"531"	"Marker668"	"1D"	87358
"532"	"Marker669"	"1D"	87358
"533"	"Marker1262"	"1D"	87358
"534"	"Marker1286"	"1D"	87358
"535"	"Marker1287"	"1D"	87358
"536"	"Marker1890"	"1D"	87358
"537"	"Marker1891"	"1D"	87358
"538"	"Marker2013"	"1D"	87358
"539"	"Marker2757"	"1D"	87358
"540"	"Marker2967"	"1D"	87358
"541"	"Marker796"	"1D"	88850
"542"	"Marker2115"	"1D"	88850
"543"	"Marker1541"	"1D"	89584
"544"	"Marker3421"	"1D"	89584
"545"	"Marker2014"	"1D"	90300
"546"	"Marker2015"	"1D"	90300
"547"	"Marker2809"	"1D"	90300
"548"	"Marker3120"	"1D"	90300
"549"	"Marker3555"	"1D"	91531
"550"	"Marker941"	"1D"	92906
"551"	"Marker2343"	"1D"	92906
"552"	"Marker2344"	"1D"	92906
"553"	"Marker2345"	"1D"	92906
"554"	"Marker514"	"1D"	99567
"555"	"Marker3314"	"1D"	104779
"556"	"Marker852"	"1D"	107062
"557"	"Marker24"	"1D"	107255
"558"	"Marker2971"	"1D"	111969
"559"	"Marker3521"	"1D"	111969
"560"	"Marker3054"	"1D"	112722
"561"	"Marker2319"	"1D"	113238
"562"	"Marker1499"	"1D"	115620
"563"	"Marker1500"	"1D"	115620
"564"	"Marker3324"	"1D"	115620
"565"	"Marker1776"	"1D"	163855
"566"	"Marker3061"	"1D"	163855
"567"	"Marker3237"	"1D"	163855
"568"	"Marker3540"	"1D"	163855
"569"	"Marker3541"	"1D"	163855
"570"	"Marker3574"	"1D"	165012
"571"	"Marker978"	"2A"	6041
"572"	"Marker979"	"2A"	6041
"573"	"Marker586"	"2A"	18572
"574"	"Marker587"	"2A"	18572
"575"	"Marker170"	"2A"	25023
"576"	"Marker1503"	"2A"	25970
"577"	"Marker169"	"2A"	47217
"578"	"Marker429"	"2A"	53181
"579"	"Marker450"	"2A"	53181
"580"	"Marker2605"	"2A"	53181
"581"	"Marker1944"	"2A"	62806
"582"	"Marker817"	"2A"	65649
"583"	"Marker1094"	"2A"	65649
"584"	"Marker981"	"2A"	73950
"585"	"Marker982"	"2A"	73950
"586"	"Marker1016"	"2A"	74978
"587"	"Marker1818"	"2A"	76900
"588"	"Marker1819"	"2A"	76900
"589"	"Marker1817"	"2A"	78033
"590"	"Marker1820"	"2A"	78033
"591"	"Marker2844"	"2A"	82227
"592"	"Marker1484"	"2A"	82768
"593"	"Marker1912"	"2A"	82768
"594"	"Marker2777"	"2A"	88537
"595"	"Marker822"	"2A"	93466
"596"	"Marker1108"	"2A"	93466
"597"	"Marker3588"	"2A"	93466
"598"	"Marker1323"	"2A"	97511
"599"	"Marker2656"	"2A"	97511
"600"	"Marker789"	"2A"	99280
"601"	"Marker2475"	"2A"	99280
"602"	"Marker2630"	"2A"	99280
"603"	"Marker3"	"2A"	101974
"604"	"Marker456"	"2A"	101974
"605"	"Marker500"	"2A"	101974
"606"	"Marker501"	"2A"	101974
"607"	"Marker595"	"2A"	101974
"608"	"Marker605"	"2A"	101974
"609"	"Marker759"	"2A"	101974
"610"	"Marker787"	"2A"	101974
"611"	"Marker919"	"2A"	101974
"612"	"Marker1013"	"2A"	101974
"613"	"Marker1019"	"2A"	101974
"614"	"Marker1428"	"2A"	101974
"615"	"Marker1509"	"2A"	101974
"616"	"Marker1510"	"2A"	101974
"617"	"Marker1693"	"2A"	101974
"618"	"Marker1728"	"2A"	101974
"619"	"Marker171"	"2A"	101974
"620"	"Marker2033"	"2A"	101974
"621"	"Marker2036"	"2A"	101974
"622"	"Marker2384"	"2A"	101974
"623"	"Marker2433"	"2A"	101974
"624"	"Marker2520"	"2A"	101974
"625"	"Marker2806"	"2A"	101974
"626"	"Marker2857"	"2A"	101974
"627"	"Marker2945"	"2A"	101974
"628"	"Marker283"	"2A"	101974
"629"	"Marker3077"	"2A"	101974
"630"	"Marker3145"	"2A"	101974
"631"	"Marker3195"	"2A"	101974
"632"	"Marker3443"	"2A"	101974
"633"	"Marker349"	"2A"	101974
"634"	"Marker385"	"2A"	103621
"635"	"Marker454"	"2A"	103621
"636"	"Marker555"	"2A"	103621
"637"	"Marker1022"	"2A"	103621
"638"	"Marker1069"	"2A"	103621
"639"	"Marker1205"	"2A"	103621
"640"	"Marker1400"	"2A"	103621
"641"	"Marker1549"	"2A"	103621
"642"	"Marker1928"	"2A"	103621
"643"	"Marker2134"	"2A"	103621
"644"	"Marker2322"	"2A"	103621
"645"	"Marker2338"	"2A"	103621
"646"	"Marker2503"	"2A"	103621
"647"	"Marker2519"	"2A"	103621
"648"	"Marker234"	"2A"	103621
"649"	"Marker237"	"2A"	103621
"650"	"Marker2996"	"2A"	103621
"651"	"Marker3269"	"2A"	103621
"652"	"Marker3325"	"2A"	103621
"653"	"Marker3381"	"2A"	103621
"654"	"Marker3539"	"2A"	103621
"655"	"Marker2420"	"2A"	103970
"656"	"Marker2267"	"2A"	104096
"657"	"Marker2387"	"2A"	104096
"658"	"Marker417"	"2A"	104132
"659"	"Marker463"	"2A"	104132
"660"	"Marker881"	"2A"	104132
"661"	"Marker1029"	"2A"	104132
"662"	"Marker1121"	"2A"	104132
"663"	"Marker1157"	"2A"	104132
"664"	"Marker1217"	"2A"	104132
"665"	"Marker1237"	"2A"	104132
"666"	"Marker139"	"2A"	104132
"667"	"Marker1431"	"2A"	104132
"668"	"Marker1640"	"2A"	104132
"669"	"Marker2037"	"2A"	104132
"670"	"Marker2367"	"2A"	104132
"671"	"Marker2368"	"2A"	104132
"672"	"Marker2385"	"2A"	104132
"673"	"Marker214"	"2A"	104132
"674"	"Marker215"	"2A"	104132
"675"	"Marker2412"	"2A"	104132
"676"	"Marker2645"	"2A"	104132
"677"	"Marker2953"	"2A"	104132
"678"	"Marker3042"	"2A"	104132
"679"	"Marker3216"	"2A"	104132
"680"	"Marker3226"	"2A"	104132
"681"	"Marker3262"	"2A"	104132
"682"	"Marker3459"	"2A"	104132
"683"	"Marker333"	"2A"	104132
"684"	"Marker9"	"2A"	105534
"685"	"Marker431"	"2A"	106299
"686"	"Marker788"	"2A"	106299
"687"	"Marker115"	"2A"	106299
"688"	"Marker116"	"2A"	106299
"689"	"Marker2620"	"2A"	106299
"690"	"Marker3602"	"2A"	106299
"691"	"Marker1712"	"2A"	106858
"692"	"Marker1305"	"2A"	108463
"693"	"Marker2253"	"2A"	108463
"694"	"Marker21"	"2A"	108463
"695"	"Marker1145"	"2A"	108610
"696"	"Marker3434"	"2A"	109199
"697"	"Marker1327"	"2A"	113297
"698"	"Marker2452"	"2A"	113297
"699"	"Marker2514"	"2A"	113297
"700"	"Marker2551"	"2A"	113297
"701"	"Marker220"	"2A"	115135
"702"	"Marker3577"	"2A"	115135
"703"	"Marker72"	"2A"	116193
"704"	"Marker835"	"2A"	116193
"705"	"IWA2640"	"2A"	116193
"706"	"Marker3626"	"2A"	116193
"707"	"Marker1053"	"2A"	116591
